Application Number,,Type of tax credit funding,Project Name,Project Address,Project City,Project Zip Code,Project Phone Number,Project County,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Construction Type,Housing Type,Total Units,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Developer,Annual Federal Award,Total State Award,,,,,,
CA-2011-901,,4%,Slauson Station Apartments,"1717 E. 61 St Street, Los Angeles, CA 90001     ",Los Angeles,90001,2132689285,Los Angeles,59,33,40,5327,"6009-008-019, 6009-008-020; 6009-008-021 ; and 600",Placed In Service,04/01/14,04/01/14,New Construction,Large Family,30,29,0,5,14,11,0,0,0,,4,9,0,0,16,0,0,,,"Slauson Station Apartments, L.P.",Zoe Ellas,"1200 Wilshire Blvd, Suite 610",Los Angeles,CA,90017,2132512111,2132512113,Deep Green Housing and Community Development,"APEC Internation, LLC",,,,Beyond Shelter Housing Mgmt,Diana Rogers,1200 Wilshire Bvld Suite 600,Los Angeles,CA,90017,213-251-2111,213-251-2113,Deep Green Housing and Community Development,"$545,120",$0,,,,,,
CA-2011-905,,4%,Taylor Yard Apartments,"1545 N. San Fernando Road, Los Angeles, CA 90065     ",Los Angeles,90065,,Los Angeles,51,24,28,1871.02,5442-002-908; 5445-004-904,Placed In Service,07/29/14,07/29/14,New Construction,Large Family,68,67,0,18,18,32,0,0,0,,7,7,7,7,7,0,32,,,"Taylor Yard, L.P.","Daniel Falcon, Jr.","801 S. Grand Ave, Suite 780",Los Angeles,CA,90017,2132362680,2132360707,MBA Development Corp.,NEW 501,,,,McCormack Baron Ragan Management,,720 Olive Street,St. Louis,MO,63101,314-335-2748,314-335-2749,McCormack Baron Salazar,"$775,186",$0,,,,,,
CA-2011-908,,4%,Chinatown Metro Apartments,"808 N. Spring Street, Los Angeles, CA 90012     ",Los Angeles,90012,213-613-1104,Los Angeles,51,24,34,2071.03,5408-029-005,Placed in Service,10/01/13,10/01/13,New Construction,Senior,123,122,62,52,9,0,0,0,0,,0,31,0,0,75,0,16,,,"Chinatown Metro Apartments, L.P.",Leanne Truofreh,"151 Kalmus Drive, Suite J-5",Costa Mesa,CA,92626,714-549-4100,714-549-4600,"WCH Affordable V, LLC","Chinatown Metro Apartments, LLC",,,,Western Seniors Housing,Cruz Guardado,"18881 Von Karman Ave., Suite 720",Irvine,CA,92612,661-755-8802,714-450-8741,Meta Housing Corporation,"$1,406,419",$0,,,,,,
CA-2011-927,,4%,Broadway Villas,"9413 S. Spring Street, Los Angeles, CA 90003     ",Los Angeles,90003,3234181800,Los Angeles,64,30,43,2405,6053-006-913; 6053-006-914; 6053-006-915; 6053-006,Placed In Service,12/18/14,12/18/14,New Construction,Senior,49,48,0,40,9,0,0,0,0,,4,0,6,12,26,0,0,,,AMCAL Multi-Housing Inc.,Arjun Nagarkatti,"30141 Agoura Road, Suite 100",Agoura Hills,CA,91301,8187060694,8188651813,"AMCAL Multi-Housing, Inc.","Foundation for Affordable Housing II, Inc.",,,,"FPI Management, Inc",Karen Murphy,800 Iron Point Road,Folsom,CA,95630,916-357-5300 ext 290,916-357-5320,"AMCAL Enterprises, Inc.","$453,947",$0,,,,,,
CA-2011-928,,4%,Linda Vista Senior Apartments,"630 South St. Louis Street, Los Angeles, CA 90023     ",Los Angeles,90023,3232653949,Los Angeles,53,24,34,2046,5183-023-003,Placed in Service,06/28/13,06/28/13,Rehabilitation,Senior,22,22,3,20,0,0,0,0,0,,0,0,0,0,22,0,0,,,"AMCAL Linda Vista Fund, L.P.",Arjun Nagarkatti,"30141 Agoura Rd., Ste. 100",Agoura Hills,CA,91301,8187060694,8187063752,"AMCAL Multi-Housing, Inc.",East Los Angeles Community Corporation,,,,Western Seniors Housing,Anthony Sandoval,"17748 Sky Park Circle, Suite 225",Irvine,CA,92614,9497488202,9497488220,"AMCAL Enterprises, Inc.","$244,715",$0,,,,,,
CA-2012-054,,9%,Argyle Apartments (Site A),"1560 N. Western Ave., Los Angeles, CA 90027",Los Angeles,90027,9513312009,Los Angeles,43,24,28,1905.10,"5544-022-003, 5544-022-035, 5544-022-057",Placed In Service,07/01/14,07/01/14,New Construction,Large Family,40,39,0,19,8,13,0,0,0,,4,0,0,10,16,0,9,,,"AMCAL Agyle Fund, L.P.",Arjun Nagarkatti,"30141 Agoura Road, Suite 100",Agoura Hills,CA,91301,8187060694,8188651813,"AMCAL Multi-Housing, Inc.",Gay and Lesbian Elder Housing,,,,"FPI Management, Inc.",,800 Iron Point Road,Folsom,CA,95630,(916) 357-5300,(916) 357-5320,"AMCAL Enterprises, Inc.","$782,852","$2,937,595",,,,,,
CA-2012-054,,,Argyle Apartments (Site B),"5446 Carlton Way, Los Angeles, CA 90027",Los Angeles,90027,9513312009,Los Angeles,43,24,28,1905.10,,,,,New Construction,Large Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2012-072,,9%,Terracina Apartments,"1218 West Imperial Hwy., Los Angeles, CA 90024",Los Angeles,90024,3237574040,Los Angeles,62,30,43,6003.03,"6079-005-022,026,027,028,029",Placed In Service,06/26/14,06/26/14,New Construction,Large Family,72,71,0,15,34,23,0,0,0,,18,0,0,8,45,0,0,,,"AMCAL Terracina Fund, LP",Arjun Nagarkati,30141 Agoura Road #100,Agoura Hills,CA,91301,8187060694,8188651813,"AMCAL Multi-Housing, Inc.",Womens Organizing Resources Knowledge & Services,,,,"FPI Management, Inc.",,800 Iron Point Road,Folsom,CA,95630,(916) 357-5300,(916) 357-5320,"AMCAL Multi-Housing, Inc.","$1,117,187","$4,229,807",,,,,,
CA-2012-081,,9%,New Hampshire Family Housing,"1037 South New Hampshire Avenue, Los Angeles, CA 90006",Los Angeles,90006,2132527283,Los Angeles,53,24,34,2133.20,"5078-011-007, 008, 009, 010",Placed In Service,10/21/14,10/21/14,New Construction,Large Family,52,51,4,24,8,16,0,0,0,,18,0,15,0,18,0,0,,,LTSC Community Development Corporation,Yoshiyuki Bill Watanabe,231 East Third Street Suite G106,Los Angeles,CA,90013,2134733030,2134731681,LTSC Community Development Corporation,,,,,Levine Management Group,,822 S. Robertson Blvd. Suite 200,Los Angeles,CA,90035,310-358-3489,310-358-3494,LTSC Community Development Corporation,"$957,867","$3,705,321",,,,,,
CA-2012-084,,9%,Riverwalk at Reseda,"18425 W. Kittridge Street, Los Angeles, CA 91335",Los Angeles,91335,,Los Angeles,45,27,30,1327,2125-015-003,Placed In Service,07/08/14,07/08/14,New Construction,Large Family,77,76,0,10,43,24,0,0,0,,8,12,18,0,24,0,14,,,"Kittridge Housing, L.P.",Holly Benson,"701 E. 3rd Street, Suite 400",Los Angeles,CA,90013,2132252708,2132252709,"Kittridge Housing GP, LLC",,,,,Abode Communities,Richard Bradley ,"701 E. 3rd St, Ste 400",Los Angeles,CA,90013,(213) 225-2754,(213) 225-2755,Abode Communities,"$1,338,577",,,,,,,
CA-2012-086,,9%,Rio Vista Apartments,"1515 N. San Ferndando Road, Los Angeles, CA 90065",Los Angeles,90065,3233429077,Los Angeles,51,24,34,1863.02,5442-002-908,Placed In Service,09/30/14,09/30/14,New Construction,Large Family,87,86,0,9,43,35,0,0,0,,10,10,10,10,10,0,36,,,"Rio Vista Apartments, L.P.",Daniel Falcon Jr.,"801 S. Grand Avenue, Suite 780",Los Angeles,CA,90017,2132362680,2132360707,MBA Development Corporation,New Economics for Women,,,,"McCormack Baron Ragan Management Services, Inc.",Michael Martinez,"801 S Grand Ave, Suite 780",Los Angeles,CA,90017,213-236-2694,213-236-2695,McCormack Baron Salazar,"$1,403,719","$5,291,933",,,,,,
CA-2012-106,,9%,Rosslyn Hotel Apartments,"112 W 5th Street, Los Angeles, CA 90013",Los Angeles,90013,,Los Angeles,53,30,34,2073.02,5149-037-010,Placed In Service,10/01/14,10/01/14,Rehabilitation,SRO,264,262,264,0,0,0,0,0,0,,93,32,34,53,0,50,0,,,"Rosslyn Hotel Apartments, L.P.",Joseph Corcoran,112 W. 5th Street,Los Angeles,CA,90013,2132299640,2136335468,Single Room Occupancy Housing Corporation,,,,,Single Room Occupany Housing Corporation(SRO),Andres Manriquez,"354 S. Spring St., Ste. 400",Los Angeles,CA,90013,213.229.9640 X22,213.229.9677,SRO Housing Corp,"$1,251,432",,,,,,,
CA-2012-123,,9%,Burlington Family Apartments,"409 South Burlington Avenue, Los Angeles, CA 90057",Los Angeles,90057,2133534508,Los Angeles,53,24,34,2089.04,"5154-023-013, 014",Placed In Service,10/24/14,10/24/14,New Construction,Special Needs,30,29,4,2,15,9,0,0,0,,15,0,4,0,2,0,8,,,"Burlington Family Housing, L.P.",Sarah White,"1200 Wilshire Blvd., Suite 520",Los Angeles,CA,90017,2133160108 ext 103,2133160111,"Burlington Family Apartmetns, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street Suite #700,Los Angeles,CA,90017,213-833-1860,213-833-1866,"Clifford Beers Housing, Inc.","$822,413",,,,,,,
CA-2012-125,,9%,Knob Hill Apartments,"2403 W. Fourth Street, Los Angeles, CA 90057",Los Angeles,90057,2133808100,Los Angeles,53,24,34,2088.02,"5154-035-003, 012, 017",Placed In Service,10/21/14,10/21/14,New Construction,Special Needs,39,38,0,32,7,0,0,0,0,,16,0,6,0,16,0,0,,,"AHCDC 6, L.P.",Joe Stalzer,"999 Corporate Drive, Suite 150",Ladera Ranch,CA,92694,9494291250,9493882158,"AHCDC 6, LLC","VP 6, LLC",,,,TELACU Property Management,Angelique Williams,1248 Goodrich Boulevard,Los Angeles,CA,90022,323.838.8556,323.838.0548,"AHCDC 6, L.P.","$969,406",,,,,,,
CA-2012-126,,9%,Foothill Terrace,"13751 Hubbard St., Los Angeles, CA 91342",Los Angeles,91342,8183627303,Los Angeles,39,18,29,1061.14,2509-014-093,Placed In Service,12/30/13,12/30/13,Acquisition/Rehab,Large Family,40,39,0,0,28,6,6,0,0,,7,0,12,0,10,0,10,,,Foothill Terrace Housing LP,Bonnie Young,"2022 South 2100 East, Suite 101",Salt Lake City,UT,84108,8018197989,8018197888,Foothill Terrace Housing LLC,Housing Corporation of America,,,,"Thomas Safran & Associates, Inc.",Jordan Pynes,"11812 San Vicente Blvd, Suite 600",Los Angeles,CA,90049,3108204888,3102076986,Thomas Safran & Associates,"$468,995",,,,,,,
CA-2012-128,,9%,Avalon Apartments,"13218 Avalon Blvd, Los Angeles, CA 90061",Los Angeles,90061,3106305801,Los Angeles,52,25,37,5408.00,6134-001-045,Placed In Service,10/16/14,10/16/14,New Construction,Special Needs,55,54,0,13,22,20,0,0,0,,37,0,0,0,17,0,0,,,"Avalon Apartments, L.P.",Dora Leong Gallo,"3701 Wilshire Blvd., Suite 700",Los Angeles,CA,90010,2134800809 ext 230,2134804189,"Supportive Housing, LLC",,,,,Barker Management,,"1101 East Orangewood, Suite 200",Anaheim,CA,92805,(714) 533-3450,(714) 533-8608,A Community of Friends,"$1,057,193",,,,,,,
CA-2012-129,,9%,Broadwood Terrace,"5001 South Main Street, Los Angeles, CA 90037",Los Angeles,90037,3232355280,Los Angeles,52,22,35,2319.00,5110-024-028,Placed In Service,12/23/14,12/23/14,New Construction,Senior,89,88,0,82,7,0,0,0,0,,10,0,19,0,36,0,23,,,"Broadwood Terrace RHF Partners, L.P.",Anders Plett,911 North Studebaker Road,Long Beach,CA,90815,5622575100,5624937042,"Broadwood RHF Housing, LLC",,,,,Foundation Property Management,Stuart Hartman,911 N. Studebaker Road,Long Beach,CA,90815,562-257-5100,562-342-9524,Retirement Housing Foundation,"$1,496,471",,,,,,,
CA-2012-131,,9%,Las Alturas,"3535 East Whittier Blvd., Los Angeles, CA 90023",Los Angeles,90023,3235266990,Los Angeles,46,22,34,2049.10,5188-005-032,Placed In Service,09/24/14,09/24/14,New Construction,Senior,78,77,0,77,1,0,0,0,0,,8,0,19,0,31,0,19,,,"Las Alturas RHF Housing Partners, L.P.",Anders Plett,911 North Studebaker Road,Long Beach,CA,90815,5622575309,5624937042,"Las Alturas RHF Housing, LLC",,,,,Foundation Property Management,Stuart Hartman,911 N. Studebaker Road,Long Beach,CA,90815,562-257-5100,562-342-9524,Retirement Housing Foundation,"$1,340,523",,,,,,,
CA-2012-190,,9%,New Pershing Apartments,"502 S. Main Street, Los Angeles, CA 90013",Los Angeles,90013,213-627-3832,Los Angeles,53,30,34,2073.02,"5148-019-010, 011",Placed In Service,12/23/14,12/23/14,New Construction,Special Needs,69,67,67,2,0,0,0,0,0,,35,0,0,18,0,0,14,,,Skid Row Housing Trust,Michael Alvidrez,1317 E. 7th Street,Los Angeles,CA,90021,2136830522 ext 113,2136830781,,,,,,SRHT Property Management Company,LaCheryl Porter,1317 E. 7th Street,Los Angeles,CA,90021,(213) 683-0522,(213) 683-0781,Skid Row Housing Trust,"$1,531,471",,,,,,,
CA-2012-200,,9%,Sage Park,"1302 West 177th Street, Los Angeles, CA 90248",Los Angeles,90248,4242861231,Los Angeles,66,35,43,2913,6111-028-904,Placed In Service,12/30/14,12/30/14,New Construction,Large Family,90,89,0,29,31,30,0,0,0,,9,0,18,0,36,0,26,,,"BHC Sage Park, L.P.",Philip Williams,"20321 Irvine Avenue, Suite F-1",Newport Beach,CA,92660,9492297075,9492747688,"BRIDGE SC, LLC",,,,,The John Stewart Company,Lori Horn,888 S. Figueroa Street Suite #700,Los Angeles,CA,90017,213-833-1860,213-833-1866,BRIDGE Housing Corp.,"$1,884,099",,,,,,,
CA-2012-208,,9%,Beswick Senior Apartments,"3553 Beswick Street, Los Angeles, CA 90023",Los Angeles,90023,3232607500,Los Angeles,53,24,34,2049.20,5191-011-030 and 5191-011-031,Placed In Service,07/24/14,07/24/14,New Construction,Special Needs,33,32,0,32,1,0,0,0,0,,13,0,6,0,13,0,0,,,"Bswich Senior Apartments, L.P.",Ernesto Espinoza,530 S. Boyle Avenue,Los Angeles,CA,90033,3236041953,3232611065,East LA Community Corporation,,,,,John Stewart Company,Lori Horn,"624 S. Grand Ave, #2500",Los Angeles,CA,90017,2138331860,2138331864,East LA Community Corporation,"$817,843",,,,,,,
CA-2012-209,,9%,Sol Y Luna Apartments,"2915 East First Street, Los Angeles, CA 90033",Los Angeles,90033,,Los Angeles,53,24,34,2043,"5180-020-027, -028, -029, -030, and -031",Preliminary Reservation,,,New Construction,Large Family,53,51,0,15,16,22,0,0,0,,11,0,11,0,29,0,0,,,"Sol Y Luna, L.P.",Ernesto Espinoza,530 South Boyle Avenue,Los Angeles,CA,90033,3232694214,3232611065,East LA Community Corporation,,,,,The John Stewart Company,Lori L. Horn,"888 South Figueroa Street, Suite 700",Los Angeles,CA,90017,2137872700,2138331864,East LA Community Corporation,"$1,390,540",,,,,,,
CA-2012-806,,4%,Vista Angelina Family Apartments,"418 N. East Edgeware Road, Los Angeles, CA 90026",Los Angeles,90026,213-482-4718,Los Angeles,51,24,34,2080,5160-020-051,Placed in Service,02/01/13,02/01/13,Acquisition/Rehab,Large Family,108,106,0,10,65,18,15,0,0,,0,21,0,0,85,0,0,,,"Vista Angelina Housing Partners, L.P.",Jonathan Webb,"4029 Waverly Place, Ste 101",Newport Beach,CA,92660,949-253-3120,949-253-3125,Related/Vista Angelina Development Co.; LLC,"Vista Angelina Housing Partners MGP, LLC",,,,Related Management Company,Daniel Rivera,"18201 Von Karman Ave, Ste 900",Irvine,CA,92612,949-660-0390,949-660-0391,The Related Companies of California,"$791,691",$0,,,,,,
CA-2012-827,,4%,Fickett Towers,"14801 Sherman Way, Los Angeles, CA 91405",Los Angeles,91405,8189888628,Los Angeles,46,18,29,1272.20,2218-021-034,Placed in Service,12/31/13,12/31/13,Acquisition/Rehab,Senior,198,198,126,74,0,0,0,0,0,,0,0,0,0,62,0,136,,,"Camino Mercado Partners, LP",Raman Nayar,"7777 Center Avenue, Suite 240",Huntington Beach,CA,92647,7147991339,7148912098,AOF/Pacific Affordable Housing Corp.,"California Commercial Investment Company, LLC",,,,"California Commercial Investment Group, Inc",Scott Heaton,"4530 E. Thousand Oaks Blvd, Suite 100",Westlake Village,CA,91362,8053864300,8053864330,GL Holdings LLC,"$707,160",,,,,,,
CA-2012-828,,4%,Paradise Arms,"5200 South Broadway, Los Angeles, CA 90037",Los Angeles,90037,,Los Angeles,59,30,40,2328,5110-029-032,Placed in Service,03/28/13,03/28/13,Acquisition/Rehab,Large Family,43,42,0,13,15,15,0,0,0,,0,0,0,0,9,0,33,,,"Paradise Pacific Associates, L.P.",Caleb Roope,"430 E. State Street, Suite 100",Eagle,ID,83616,2084610022,4084613267,New Life Economic Development,"TPC Holdings V, LLC",,,,New Life Economic Development,John Heath,5701 South Figueroa Street,Los Angeles,CA,90037,3237785433,,"Pacific West Communities, Inc.","$398,113",,,,,,,
CA-2012-878,,4%,Freeman Villa Apartments,"1229 S. Westmoreland Avenue, Los Angeles, CA 90006",Los Angeles,90006,2133837945,Los Angeles,53,40,34,2134.02,5076-019-029,Placed In Service,12/31/13,12/31/13,Acquisition/Rehabilitation,Seniors,41,40,10,31,0,0,0,0,0,,0,0,0,0,12,0,28,,,"Freeman Villa Associates, LP",Courtney D. Allen,10390 Santa Monica Blvd. Ste. 400,Los Angeles,CA,90025,6197942200,6197942202,Affordable Housing Solutions (Managing General Partner),"Freeman Partners, LLC (Administrative General Part",,,,"EMP III, Inc. d/b/a Alpha Property Management",Ernie Pilpil,1755 E. Martin Luther King Jr. Blvd.,Los Angeles,CA,90058,3232314174,3232318688,The Treadstone Companies,"$216,458",,,,,,,
CA-2012-885,,4%,Parcel M-Grand Avenue Apartments,"225 South Grand Avenue, Los Angeles, CA 90012",Los Angeles,90012,,Los Angeles,53,30,34,2075.02,5151-004-911 and portion of 5151-004-913,Placed In Service,09/29/14,09/29/14,New Construction,Non-Targeted,56,55,15,28,13,0,0,0,0,,0,0,9,0,46,0,0,,,"Grand Avenue M Housing Partners, LLC",Gino Canori,"18201 Von Karman Avenue, Suite 900",Irvine,CA,92612,9496607272,9496607273,"Related/Parcel M Development Co., LLC",,,,,Related Management Company,Chris Bricker,"18201 Von Karman Avenue, Suite 900",Irvine,CA,92612,2134552662,,"Related California Urban Housing, LLC","$865,467",,,,,,,
CA-2012-886,,4%,Seven Palms Apartments,"12831 San Fernando Road, Los Angeles, CA 91342",Los Angeles,91342,8183674430,Los Angeles,39,18,29,1066.04,2604-021-032,Placed In Service,11/11/13,11/11/13,Acquisition/Rehabilitation,Non-Targeted,68,64,0,28,40,0,0,0,0,,0,0,0,0,7,0,57,,,Seven Palms Sylmar LP,Heidi Bass,"230 Newport Center Drive, Suite 210",Newport Beach,CA,92660,9497191888x201,9497191897,"Seven Palms Sylmar COGP LLC/Seven Palms Sylmar MGP, LLC","Seven Palms Sylmar COGP,LLC",,,,VPM Management Inc.,Scott Barker,2400 Main Street Suite 201,Irvine,CA,92614,9498631500x210,9494773167,KDF Communities LLC,"$279,083",$0,,,,,,
CA-2012-897,,4%,Coronado Place Apartments,"671 S Coronado Street, Los Angeles, CA 90057",Los Angeles,90057,213-688-5024,Los Angeles,53,24,34,2087.20,5141-008-002,Placed In Service,10/18/13,10/18/13,Acquisition/Rehabilitation,Non-Targeted,41,40,0,13,15,13,0,0,0,,0,0,0,0,22,0,18,,,Deep Green Housing and Community Development,Zoe Ellas,"1200 Wilshire Blvd, Suite 610",Los Angeles,CA,90017,2132512111,,Deep Green Housing and Community Development,,,,,Deep Green Property Management,Diana Rogers,"400 W. 9th Street, 1st Floor",Los Angeles,CA,90015,3236885024,3233841201,Deep Green Housing & Comm. Dev.,"$332,271",,,,,,,
CA-2013-006,,9%,Navy Village,"1556 West Palos Verdes Drive North, Los Angeles, CA 90732",Los Angeles,90732,,Los Angeles,66,35,33,2933.06,"7442-001-022, 023, 024",Placed In Service,01/30/15,02/18/15,Rehabilitation,Special Needs,74,73,0,0,74,0,0,0,0,,8,0,57,0,8,0,0,,,"Navy Village VOA Affordable Housing, L.P.",Mike Seltz,1660 Duke Street,Alexandria,VA,22314,7033415081,7033417001,Volunteers of America of Los Angeles,Volunteers of America National Services,,,,VOA National Housing Corporation,R. Paul Coleman,1660 Duke Street,Alexandria,VA,22314,8047394812,8047394812,Volunteers of America National Serivces,"$1,765,267",,,,,,,
CA-2013-045,,9%,Linda Vista Apartments II,"610 S. St. Louis Street, Los Angeles, CA 90023",Los Angeles,90023,,Los Angeles,53,22,34,2046.00,5183-023-003,Preliminary Reservation,,,New Construction,Seniors,97,96,4,82,11,0,0,0,0,,10,0,0,25,39,0,22,,,"AMCAL Multi-Housing, Inc.",Arjun Nagarkatti,"30141 Agoura Road, Suite 100",Agoura Hills,CA,91301,8187060694,8188651813,"AMCAL Multi-Housing, Inc.",East LA Community Corporation,,,,"Western Seniors Housing, Inc.",Anthony Sandoval,"17748 Sky Park Circle, Suite 225",Irvine,CA,92614,9497488202,9497488220,"AMCAL Enterprises, Inc.","$1,153,937",,,,,,,
CA-2013-066,,9%,Blossom Plaza,"900 N. Broadway, Los Angeles, CA 90012",Los Angeles,90012,,Los Angeles,51,22,34,2060.10,5414013900,Preliminary Reservation,,,New Construction,Large Family,54,53,17,12,9,16,0,0,0,,6,0,11,0,22,0,14,,,"Forest City Blossom, LLC",Frank Frallicciardi,949 S Hope Street,Los Angeles,CA,90015,2134162200,2134889308,Hearthstone Housing Foundation,"Forest City Blossom, LLC",,,,Forest City Residential Management,George Cvijovic,"50 Public Square, Suite 1200",Cleveland,OH,44113,2164163117,2162634800,"Forest City Blossom, LLC","$1,870,845",,,,,,,
CA-2013-105,,9%,Playa Senior Affordable Housing,"12481 W. Fielding Circle, Los Angeles, CA 90094",Los Angeles,90094,,Los Angeles,62,28,43,2756.02,4211-034-032,Preliminary Reservation,,,New Construction,Seniors,83,82,0,59,24,0,0,0,0,,9,0,9,38,0,0,26,,,"Playa Senior Affordable Housing, LP",Andrew Gross,"11812 San Vicente Blvd., Suite 600",Los Angeles,CA,90049,3108204888,3102076986,"Playa Senior Affordable Housing, LLC",,,,,"Thomas Safran & Associates, Inc.",Jordan Pynes,"11812 San Vicente Blvd., Suite 600",Los Angeles,CA,90049,3108204888,,"Thomas Safran & Associates Development, Inc.","$1,628,616",$0,,,,,,
CA-2013-111,,9%,Vermont Manzanita,"1225 S. Vermont Ave., Los Angeles, CA 90006",Los Angeles,90006,,Los Angeles,53,22,37,2133.20,5078-028-006,Preliminary Reservation,,,New Construction,Large Family,40,39,0,28,0,12,0,0,0,,15,0,4,0,10,0,10,,,West Hollywood Community Housing Corp.,Jesse Slansky,"7530 Santa Monica Blvd., Ste. 1",West Hollywood,CA,90046,3236508771,3236504745,West Hollywood Community Housing Corp,,,,,The John Stewart Company,Lori Horn,"888 S. Figueroa St., Suite 700",Los Angeles,CA,90017,2137872700,,West Hollywood Community Housing Corp,"882,370","2,679,649",,,,,,
CA-2013-113,,9%,Carondelet Apartments,"811 S. Carondelet Street, Los Angeles, CA 90057",Los Angeles,90057,,Los Angeles,53,22,34,2094.01,5141-025-005; 5141-025-006,Preliminary Reservation,,,New Construction,Special Needs,52,50,45,7,0,0,0,0,0,,21,0,0,18,11,0,0,,,Skid Row Housing Trust,Dana Trujillo,1317 E. 7th Street,Los Angeles,CA,90021,2136830522,2136830781,Skid Row Housing Trust,,,,,SRHT Property Management Co.,LaCheryl Porter,1317 E. 7th Street,Los Angeles,CA,90021,2136830533,,Skid Row Housing Trust,"$1,089,512",,,,,,,
CA-2013-135,,9%,Crenshaw Family Apartments,"5110 Crenshaw Blvd., Los Angeles, CA 90043",Los Angeles,90043,,Los Angeles,54,26,37,2345.01,5013-019-006 & 5013-019-023,Preliminary Reservation,,,New Construction,Large Family,32,31,0,13,8,11,0,0,0,,4,0,0,8,14,0,5,,,"5110 Crenshaw BL., L.P., a California limited part",Gwendy Silver Egnater,5947 Variel Avenue,Woodland Hills,CA,91367,8189052430,8189052440,Corporation for Better Housing,,,,,"CBH Property Management, LLC",Evelyn Danowitz,5947 Variel Avenue,Woodland Hills,CA,91367,8189052430,,Corporation for Better Housing,"$775,066",$0,,,,,,
CA-2013-148,,9%,Whittier Place Housing (Site A),"4125 Whittier Boulevard, Los Angeles, CA 90023",Los Angeles,90023,,Los Angeles,51,30,40,5312.02,"5239-021-037, 5230-021-038, 5239-021-030",Preliminary Reservation,,,New Construction,Special Needs,25,24,0,15,10,0,0,0,0,,12,0,0,0,12,0,0,,,"Whittier PSH, LP",Maria Cabildo,4125-4131 Whittier Boulevard & 837 S. Bonnie Beach,Los Angeles,CA,90022,3232694214,3232611065,East LA Community Corporation,,,,,The John Stewart Company,Lori Horn,624 S. Grand Ave #2500,Los Angeles,CA,90017,2138331860,,East LA Community Corporation,"$764,973",,,,,,,
CA-2013-148,,,Whittier Place Housing (Site B),"837 S. Bonnie Beach Place, Los Angeles, CA 90023",Los Angeles,90023,,Los Angeles,51,30,40,5312.02,,,,,New Construction,Special Needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2013-168,,9%,Turner Apartments,"7000 S. Hoover Street, Los Angeles, CA 90044",Los Angeles,90044,7142822520,Los Angeles,59,26,37,2376.00,6013-023-042,Placed In Service,10/29/14,10/29/14,Rehabilitation,At-Risk,31,30,0,0,31,0,0,0,0,,3,3,3,0,8,0,13,,,"Horizon Development Consulting, LLC",Keith Stanley,"2030 Main Street, Suite 1300",Irvine,CA,92614,9492604998,9492604994,"Horizon Development Consulting, LLC",AOF/Pacific Affordable Housing Corp.,,,,"Solari Enterprises, Inc.",Bruce Solari,1572 N. Main St.,Orange,CA,92867,7142822520,,"Horizon Development Consulting, LLC","$548,266",$0,,,,,,
CA-2013-174,,9%,Courtleigh Villas,"11734 Courtleigh Drive, Los Angeles, CA 90066",Los Angeles,90066,,Los Angeles,62,28,37,2752.00,"4233-023-026, 4233-023-025",Preliminary Reservation,,,New Construction,Special Needs,23,22,0,22,1,0,0,0,0,,11,0,11,0,0,0,0,,,Courtleigh Development LP,Caleb Roope,"430 E. State Street, Suite 100",Eagle,ID,83616,2084610022,2084613267,"TPC Holdings V, LLC",Path Ventures,,,,The John Stewart Company,Lori Horn,"888 Figueroa Street, Suite 700",Los Angeles,CA,90064,2138331860,,"Pacific West Communities, Inc.","$541,447",,,,,,,
CA-2013-186,,9%,Vermont Villas,"16304 S. Vermont Avenue, Los Angeles, CA 90247",Los Angeles,90247,4242923071,Los Angeles,64,35,43,2912.10,6120-018-084,Placed In Service,07/01/15,07/01/15,New Construction,Special Needs,81,80,0,80,1,0,0,0,0,,80,0,0,0,0,0,0,,,"Vermont Villas, L.P.",Jeanne Blake,"13520 Evening Creek Drive North, Suite 160",San Diego,CA,92128,8583865179,8586799076,"Affirmed Housing Group, Inc.",Path Ventures,,,,"Solari Enterprises, Inc.",Gianni Solari,1572 N. Main Street,Orange,CA,92867,7142822520,,"Affirmed Housing Group, Inc.","$1,250,427",,,,,,,
